pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry,qty_x,qty_y,entry_px,entry_py
"('VGK', 'EWL')",VGK,EWL,EUROPE,LONG,2010-12-15,2010-12-29,9,-2.226368689014399,-4.658820833677779,1.2757121398646083,8.273978147465233,-100.0938201261239,stop_loss_time,50000,150.16747493456862,-317.24770024923816,29.262187957763672,17.670013427734375
"('EWT', 'EWY')",EWT,EWY,ASIA_DEV,LONG,2011-06-27,2011-07-08,8,-2.7569702425648845,-4.92312310041963,0.9510986122103835,7.302834201561681,-210.92856937840565,stop_loss_time,50000,317.3996412625917,-97.54951151198152,16.147836685180664,49.97136688232422
"('VGK', 'EWU')",VGK,EWU,EUROPE,LONG,2011-07-11,2011-07-19,6,-2.01899444777508,-5.54828325766314,0.9877126871892166,5.34474139398632,-37.80798315930063,stop_loss_time,50000,163.1837151200652,-247.95587799693806,30.82971954345703,20.040225982666016
"('XLF', 'IAI')",XLF,IAI,FINANCIALS,SHORT,2011-06-30,2011-07-29,20,2.4649076550964635,0.33357732702867304,0.7763363224786126,10.479668817029276,72.68033385237732,convergence,50000,-587.5616532417379,206.7467377393547,9.581232070922852,21.13907814025879
"('VFH', 'IAI')",VFH,IAI,FINANCIALS,SHORT,2011-07-05,2011-08-01,19,2.0282946142202802,0.41666844940337877,0.7513838308993659,13.162862933816807,64.84034750329434,convergence,50000,-237.29723936349473,200.63009555416826,24.061681747436523,21.383777618408203
"('VGK', 'EWU')",VGK,EWU,EUROPE,LONG,2011-07-19,2011-08-02,10,-2.4275351178164204,-3.3656153461980125,0.9877126871892166,5.34474139398632,-136.0522352003407,stop_loss_time,50000,163.76397323718123,-247.95587799693806,30.7204818725586,20.040225982666016
"('KBE', 'KRE')",KBE,KRE,FINANCIALS,LONG,2011-07-13,2011-08-03,15,-2.325464364810812,-3.1797672582305463,0.8769183308424211,6.088859880387083,-88.57928273858766,stop_loss_time,50000,313.86823771398724,-251.92157311287605,16.97490119934082,18.5459213256836
"('EWT', 'EWY')",EWT,EWY,ASIA_DEV,LONG,2011-07-08,2011-08-04,19,-2.194780791200988,-0.5537319501939779,0.9510986122103835,7.302834201561681,259.86163054273163,convergence,50000,307.57235707395836,-90.94210759957957,16.66377830505371,53.6020393371582
"('KBE', 'KRE')",KBE,KRE,FINANCIALS,LONG,2011-08-04,2011-08-15,7,-2.3453227181407423,-4.222804155958374,0.8769183308424211,6.088859880387083,-35.26075740470574,stop_loss_time,50000,347.5023867852393,-274.77489778027615,15.33193016052246,17.003437042236328
"('XLY', 'XRT')",XLY,XRT,CONSUMER_DISC,LONG,2011-08-04,2011-08-15,7,-2.3527816547831537,0.04372417487394091,0.8015600438871174,5.81603122681287,78.48171656630556,convergence,50000,181.3851614418082,-223.98244193902764,30.60197830200196,19.864303588867188
"('EWT', 'EWY')",EWT,EWY,ASIA_DEV,SHORT,2011-08-05,2011-08-19,10,2.399774032824182,4.092395110111812,0.9510986122103835,7.302834201561681,-335.2808440939821,stop_loss_time,50000,-341.2973844044548,105.12017882601566,15.017160415649414,46.37247085571289
"('VGK', 'EWU')",VGK,EWU,EUROPE,LONG,2011-08-03,2011-08-19,12,-2.0914997034073615,-3.0811126399197857,0.9877126871892166,5.34474139398632,-123.12146851371773,stop_loss_time,50000,168.93684723617656,-251.40758326698528,29.779815673828125,19.76508331298828
"('XLY', 'XRT')",XLY,XRT,CONSUMER_DISC,SHORT,2011-08-18,2011-08-22,2,2.0988612537503495,0.4253160942316642,0.8015600438871174,5.81603122681287,23.271040761981208,convergence,50000,-190.94008573917964,244.84972061994418,29.07061004638672,18.171371459960938
"('VGK', 'EWU')",VGK,EWU,EUROPE,LONG,2011-08-19,2011-09-07,12,-2.137043233565353,-3.5363728502311234,0.9877126871892166,5.34474139398632,-107.75955683634052,stop_loss_time,50000,193.32397048765554,-281.44593071676655,26.0231990814209,17.655582427978516
"('VGK', 'EWU')",VGK,EWU,EUROPE,LONG,2011-09-07,2011-09-20,9,-2.641993729814301,-3.8106464498168693,0.9877126871892166,5.34474139398632,-116.43866303043417,stop_loss_time,50000,188.61727941698626,-269.8796835547195,26.67257308959961,18.412248611450195
"('VGK', 'EWU')",VGK,EWU,EUROPE,LONG,2011-12-14,2011-12-30,11,-2.4693177669700987,-1.65974592476975,1.1108564834187984,5.34474139398632,9.975232406762995,period_end,50000,189.19349147480804,-291.07594827051844,25.0400447845459,18.07977104187012
"('EWH', 'EWT')",EWH,EWT,ASIA_DEV,SHORT,2012-07-09,2012-07-19,8,2.012872109471134,3.785060835315411,0.8435806360539528,6.647066686906408,-163.13430357051524,stop_loss_time,50000,-494.3152480716877,327.21016985104035,10.973214149475098,13.984201431274414
"('EWP', 'EWN')",EWP,EWN,EUROPE,LONG,2012-07-17,2012-07-25,6,-2.2721920821514097,-6.285520887944146,0.9212682986793193,5.872372323707201,-463.13050835633,stop_loss_time,50000,361.3171526757967,-362.0118551858337,14.405336380004885,13.245712280273438
"('EWP', 'EWN')",EWP,EWN,EUROPE,LONG,2012-07-25,2012-08-07,9,-2.7583392288900233,-0.2873361474155689,0.9212682986793193,5.872372323707201,725.577493047366,convergence,50000,404.890389992496,-371.01269148212873,12.855072021484377,12.924368858337402
"('EWQ', 'EWP')",EWQ,EWP,EUROPE,SHORT,2012-07-23,2012-08-07,11,2.844918713710787,0.4540336568222649,1.1519125195633633,9.011781608600236,386.76834635283154,convergence,50000,-359.6620899567573,403.2026985582647,12.920541763305664,13.276128768920898
"('EWH', 'EWT')",EWH,EWT,ASIA_DEV,SHORT,2012-07-19,2012-08-13,17,2.4273745432991456,0.3287362351063585,0.8435806360539528,6.647066686906408,120.96854671452715,convergence,50000,-487.8459386809648,332.38233297274036,11.118729591369627,13.766594886779783
"('EWH', 'EWT')",EWH,EWT,ASIA_DEV,LONG,2012-08-17,2012-08-21,2,-2.100811555331958,-0.5257028125354195,0.8435806360539528,6.647066686906408,-27.659282983222415,convergence,50000,477.0616699280051,-314.33795025242387,11.370075225830078,14.55685806274414
"('EWH', 'EWT')",EWH,EWT,ASIA_DEV,LONG,2012-09-05,2012-09-10,3,-2.0092558026556806,-0.11307399036905642,0.8435806360539528,6.647066686906408,77.66802443792253,convergence,50000,490.4720356801497,-319.10825529391036,11.059197425842283,14.33924961090088
"('EWT', 'EWY')",EWT,EWY,ASIA_DEV,SHORT,2013-06-26,2013-07-11,10,2.2241279220094032,3.579720440607712,0.8963190975894657,5.861134508198013,-44.618907545325676,stop_loss_time,50000,-346.11339219605406,115.1011494022544,15.23597240447998,41.06497573852539
"('EWI', 'EWP')",EWI,EWP,EUROPE,LONG,2013-07-03,2013-07-19,11,-2.0846718603490895,-0.3086894134882692,0.7744935244718195,8.965892917483737,165.26720319238368,convergence,50000,346.33125594979936,-234.88479889273918,16.27173614501953,18.58182907104492
"('XLY', 'XRT')",XLY,XRT,CONSUMER_DISC,SHORT,2015-07-06,2015-07-09,3,2.177970718292933,-0.6177390498480656,0.8079293188693446,8.287366247157742,15.210205791602917,convergence,50000,-80.41830130095573,105.46972123970411,68.78023529052734,42.37055206298828
"('XLY', 'XRT')",XLY,XRT,CONSUMER_DISC,SHORT,2015-07-15,2015-07-28,9,2.5723772318623626,7.850963183512317,0.8079293188693446,8.287366247157742,-194.7928631624805,stop_loss_time,50000,-78.62236863174427,103.8011092035693,70.35134887695312,43.05166244506836
