pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry,qty_x,qty_y,entry_px,entry_py
"('EWT', 'EWY')",EWT,EWY,ASIA_DEV,LONG,2011-06-27,2011-07-11,9,-2.703108731978422,-5.063525064449346,0.9510986122103829,7.302834201561681,-163.54115032562547,stop_loss,51054.857042451964,324.0958661997433,-99.60752729610479,16.147836685180664,49.97136688232422
"('XBI', 'IBB')",XBI,IBB,HEALTHCARE,SHORT,2011-07-18,2011-07-21,3,2.2837472005420856,0.08164498184659104,0.9953879383695512,5.657773271086196,4.190374379566366,convergence,50882.061599397166,-216.345461160689,148.1655852536427,23.57325553894043,34.2619743347168
"('XBI', 'IBB')",XBI,IBB,HEALTHCARE,SHORT,2011-07-25,2011-07-26,1,2.030984328447785,-0.4703328815434795,0.9953879383695512,5.657773271086196,-3.7612472173227403,convergence,50886.25197377673,-215.04081074473734,146.53519975375735,23.71822738647461,34.646034240722656
"('VFH', 'IAI')",VFH,IAI,FINANCIALS,SHORT,2011-07-05,2011-07-28,17,2.240111616406907,-0.05788832664413761,0.6005858897311354,13.162862933816777,99.39610384255194,convergence,51054.857042451964,-265.13196946669035,179.1755603936665,24.061681747436523,21.383777618408203
"('XLF', 'IAI')",XLF,IAI,FINANCIALS,SHORT,2011-06-30,2011-07-29,20,2.464907655096451,0.33357732702869386,0.776336322478613,10.479668817029314,84.26584502375938,convergence,51054.857042451964,-599.9575241976731,211.1085027855213,9.581232070922852,21.13907814025879
"('SPYG', 'IYW')",SPYG,IYW,US_GROWTH,SHORT,2011-07-05,2011-07-29,18,2.483683987098389,0.4067734948860385,0.5994761121586483,6.101409560034407,98.38360490112987,convergence,51054.857042451964,-502.444956355343,258.25479840629714,12.705764770507812,14.818791389465332
"('EWT', 'EWY')",EWT,EWY,ASIA_DEV,LONG,2011-07-11,2011-08-04,18,-2.023571928424405,-0.40101494464390286,0.9510986122103829,7.302834201561681,248.3459283118701,convergence,50882.061599397166,318.8801688736944,-95.05417502752287,16.356409072875977,52.18790054321289
"('XBI', 'IBB')",XBI,IBB,HEALTHCARE,LONG,2011-08-03,2011-08-05,2,-2.1098422461901345,-9.516428833000019,0.9953879383695512,5.657773271086196,-129.78579529403706,stop_loss,51164.53628032685,236.8027161771379,-159.5539459531612,21.65633773803711,31.993114471435547
"('XBI', 'IBB')",XBI,IBB,HEALTHCARE,LONG,2011-08-05,2011-08-09,2,-3.8317581295792342,-5.28981463282098,0.9953879383695512,5.657773271086196,-18.939630753991423,stop_loss,51283.09641334468,267.15955447323825,-175.46463180154848,19.240049362182617,29.159473419189453
"('EWT', 'EWY')",EWT,EWY,ASIA_DEV,SHORT,2011-08-05,2011-08-11,4,2.5994759013453383,6.040557025283711,0.9510986122103829,7.302834201561681,-342.3427394703278,stop_loss,51283.09641334468,-350.0557334007205,107.81776531445189,15.017160415649414,46.37247085571289
