trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,stop_loss_exits,cointegration_drift_exits,convergence_exits
2010,4,2,1,50.0,20.873172963534643,50020.87317296354,1.0,1.0,
2011,4,13,5,38.46153846153847,-86.9003118016477,49933.9728611619,8.0,2.0,3.0
2016,3,1,0,0.0,-57.26257873841775,49876.71028242348,,,1.0
2017,3,0,0,0.0,0.0,49876.71028242348,,,
2020,4,0,0,0.0,0.0,49876.71028242348,,,
