trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,convergence_exits,stop_loss_time_exits,cointegration_drift_exits,max_holding_exits,regime_break_exits,period_end_exits
2010,4,36,15,41.66666666666667,-215.60655577052415,49784.39344422946,13,6,4,1,10.0,2
2011,4,54,20,37.03703703703704,-570.2746273874152,49214.11881684204,24,22,1,4,,3
2016,3,38,18,47.368421052631575,-15.902912426073982,49198.21590441595,17,12,1,6,,2
2017,3,42,13,30.952380952380953,-386.0187803640498,48812.197124051905,13,11,1,5,9.0,3
2020,3,20,12,60.0,219.2572949442059,49031.45441899612,8,4,2,3,,3
